id,username,discrim,bestrank
120406880446185474,ktek,1809,17860
120583297729429504,"ClownF1sh(Владимир)",8796,6654
120613697746894849,"Nuno Mike Oxphat",9488,23608
120620986080034818,GPO,9174,12699
120651893172207618,DarkPigNinja,7034,7944
120664286467981314,SatPagle,1178,27958
120674874237648897,Jetty,8065,15494
120695982894612481,GSP,1500,12873
120900601935691776,Pogux,2351,25374
120959091672743937,ppain,1646,25573
121251327610191873,juicynight,0274,16242
121434157975994371,Stick,1654,30432
121616076214763523,atalantus,7669,3099
121731452294397952,PK,3712,25249
121844290904260608,TheYungStump,1526,31808
122078766498316291,Sync,7252,30933
122102199324114954,Fawnmage,4018,10828
122131737307381774,Dreams,9370,9190
122148210650120198,Vinegar,1069,33687
122456790985080836,Mikyboy686,9709,21293
122721554072207360,climax,6301,6605
122759401613426689,Mecha,1486,20865
122825380380934144,Tajster,2951,31124
122932081859887106,Kageinator,2533,16574
122986849953251329,Proxial,1234,25710
123173787633057792,j03y,9581,14892
123183449010864137,Charles,1483,6087
123206217181954048,Karmikal,9703,16813
123226354677186560,Salvia1178,5030,27739
123409284607377410,TyFalledInLove,0924,32954
123413362569773056,Jexisho,2958,15507
123553930872356868,Timmy,3715,32045
123565932625788931,Zxurian,0001,36082
123645341613424641,MrTom1308,1643,22096
123664744040103936,Snakularity,2448,29517
123813216970080257,749ms,6107,1074
123831971112550400,Psycol1am,5353,25756
124013201590321155,Sparky,8675,29920
124117878705356800,Kellphy,5334,17010
124142497159970820,Richy,5927,26864
124203364887166986,Bang!,8405,3644
124354029777059840,MichaelBoomin,1738,21133
124460309531328514,"ABN | Corey",3325,1421
124998213974360064,Zachrocks/PatcheR,4200,35525
125005597765664769,Sprengladung,8149,30131
125014205232316416,klikplay,8034,17470
125032682856906752,flux,1259,11358
125109015632936960,jkl2k2,6035,15637
125114868033519616,Lejend,7463,18477
125289544508506112,"Jefftor Ruler of the Void",0693,15390
125430331485585408,Dulkir,4476,9389
125586685986603008,Pelopi,0123,24808
125634520018845696,wesh,8664,34221
125930416744955904,Neetwork,9808,22725
126012786097520640,Toffe,5691,32233
126120356313432065,jeber,2976,15359
126126992792748032,Yarlow,2996,35083
126170837458878464,egsdee,5691,9760
126241361803476992,mr000penguin,7557,21974
126321794171928576,SirLovelyPiggy,0274,29067
126326900279869441,JKilli,9712,15635
126392648440348673,Spuds,4715,30145
126428215660118017,TuggerNutts,6845,32778
126466356957806592,Jey,3214,15511
126473264187834368,"Mr Wiff City",4621,21905
126534336479625216,KosmiQ,9024,17663
126672609684357120,FuZioN,8605,11842
126690802863833088,Djordje,2721,8779
126726138092453888,Islykids,7255,14629
126934811813085184,Corn,1383,6969
127139391176048640,Ewaja,2282,10495
127161283094118400,Tamago,3630,31168
127219818293231626,"carbonated poop water",6969,5789
127225444020781056,Warshop,7509,34092
127535765658796033,Jexstazy,9061,15509
127598487377412096,Lego,7777,18460
127760279990697984,ArmyK1ller,7387,2857
127784069437063168,Miceman,0001,21119
127794283431329793,wb,1119,34163
128070441905422336,Kunaii,2266,17910
128162320869228544,SP1T2E,7984,29877
128216421246304256,Acephalic,2971,1495
128271598565326848,martin,3299,20316
128291934363058177,JumboBog320,2472,16294
128306970837909504,Wugfe,8082,34618
128336460599394305,haris,3287,13246
128374029940817920,"ITz WulfKing",3224,14758
128452811905171457,Nathan12,4212,22626
128531906760278017,comfy,5820,6838
128669018008715264,onlyray,9285,1
128706540105498636,Sciguymjm,5935,227
128729125148950528,LazyBarbecue,6125,18340
128774959198633984,Venom,0006,33473
128905093880741888,Silver,4636,28926
128907743925895168,Bape,4182,3662
128954765320257537,Drago,2127,9125
128965667423518720,"Joseph | Beyond",0616,16003
128980314944045056,SlimSchadey,8944,29332
129077947486175232,"Sway | Procro!",8885,30827
129297844849999872,Brun0,2753,5201
129400985171918849,ysl,0930,35369
129490626201780224,LeYuno,2969,18668
129512527015968768,Kaishiro,2638,16612
129520094492491777,Grizzly,0666,12816
129552021085749248,Owned72k,4212,24266
129724612664623104,yeeeeeee,3615,35125
129752409013616641,bebo,9118,3883
129907746857418752,Nogxme,0001,23296
129957434616840192,Allenyde,0283,2220
130097491126255616,Froyo,8651,11726
130103114593337347,Xaropalis,5685,34700
130125336380702720,Prawnz,5759,25595
130174940942041088,kLrbee,3827,17487
130186771576258561,MisterDrProf,2552,88
