id,username,discrim,bestrank
94782681438494720,Deejudanne,9347,16459
94849963841826816,NezzKryptic,0001,34300
94913377372995584,Nebu,6104,34000
94948056956407808,Zyno,4465,50678
94953376927715328,Overkill,9744,38703
95103681438949376,TheGutestBoi,8008,2668
95124400830951424,Zimmeer,8866,50413
95138963366350848,zomgowy,0951,50522
95392925956968448,Anger,3825,9605
95447765139587072,Liam.,1919,29050
95495891821006848,"Fleurèt ᐛ",1337,20541
95525833208238080,Shala,5780,41252
95532218448875520,Trash,5666,46105
95564978420985856,BurpLeTurtle,8137,13154
95567530118098944,Stoner_Minded,0420,43677
95609340823613440,"Niko⁷ 🏮🍊",7755,34559
95628752360316928,"Bubba D",4209,14170
95628896120090624,kj22np,2387,27459
95637299890495488,LonelyKermit,6969,29603
95641876773736448,Pikachu,6948,36875
95660153440829440,matchasaur,8635,31126
95679729008377856,Andy!,6969,9542
95730953476911104,"God's Disappointment",0001,21258
95776391403929600,Dusk,1865,17813
95904674443440128,Lord0fShadow,0666,30035
95939946786885632,0907.,0907,7122
95958938561810432,lulu,7250,30392
96342434685923328,Ri_Ception,3652,42429
96348557761597440,Lallopa,0001,28449
96651824680935424,Koppar,2159,27704
96679793092743168,Shaylee_Diamond,2007,61752
96717803406491648,Weeb,7561,48035
96719663030861824,iamlikemex,0042,23228
96742288536899584,"Stanko Pinchowski",0398,43467
96792361417318400,Aegisfate,0001,8282
96933118400802816,vector,9999,47155
97018557488959488,Evierlena,1962,19096
97314839042469888,"Ryan | Barksie",6571,40245
97367755304484864,Nicklas,1989,34378
97385603309506560,Etoiroc,5800,19009
97392926253924352,Gilles,0001,22706
97394752466464768,pol,8776,37153
97409703109218304,Emina,1337,18537
97433785263456256,Yepi,0001,49404
97558484714790912,Bread,6691,12791
97572732404764672,PoweredByRice,7625,37312
97606728635383808,Wombatman,7532,48511
97623695689777152,Starlord,3546,43501
97682232738598912,CHADGAMER,1246,13876
97688761084678144,"bones◇",0514,12570
97721840494968832,"Old Man Jenkins",0625,35608
97738785151778816,hubbs,9830,22918
97819695972876288,gluestick,9439,21195
97902812410683392,sammy,6395,40300
98122967669555200,Waabajack,2746,52149
98126033164722176,LoveDuckie,1337,29764
98167514374090752,Trip,0420,46173
98207252762103808,Chipsness,0375,14242
98230789627482112,naters305,0001,33886
98297627572981760,Sin,5902,41950
98457403791519744,Morgannito,2097,32915
98468158209265664,IDontWannaBeU,0406,25189
98468398366756864,Sparta,9073,44941
98468399234965504,ST34M,3680,43430
98468521884778496,Hiyo,8359,22658
98468694631383040,Tensi,2539,44896
98468798209724416,Yoite,3850,49508
98496167268073472,Doinger,2357,17232
98497525757009920,JustinT1010,8970,26226
98502080926334976,Just,1337,25800
